# EUCKP.TXT
0xA8F0	0x3398	# ㎘
0xA8F1	0x33FF	# ㏿
0xA8F2	0x3388	# ㎈
0xA8F3	0x3389	# ㎉
0xA8F4	0x33AD	# ㎭
0xA8F5	0x33AE	# ㎮
0xA8F6	0x33AF	# ㎯
0xA8F7	0x32CC	# ㋌
0xA8F8	0x33DD	# ㏝
0xA8F9	0x33C8	# ㏈
0xA8FA	0x32CD	# ㋍
0xA8FB	0x32CE	# ㋎
0xA8FC	0x33D6	# ㏖
0xA8FD	0x33CB	# ㏋
0xA8FE	0x33CA	# ㏊
0xA9A1	0x2500	# ─
0xA9A2	0x2502	# │
0xA9A3	0x250C	# ┌
0xA9A4	0x2510	# ┐
0xA9A5	0x2518	# ┘
0xA9A6	0x2514	# └
0xA9A7	0x251C	# ├
0xA9A8	0x252C	# ┬
0xA9A9	0x2524	# ┤
0xA9AA	0x2534	# ┴
0xA9AB	0x253C	# ┼
0xA9AC	0x2501	# ━
0xA9AD	0x2503	# ┃
0xA9AE	0x250F	# ┏
0xA9AF	0x2513	# ┓
0xA9B0	0x251B	# ┛
0xA9B1	0x2517	# ┗
0xA9B2	0x2523	# ┣
0xA9B3	0x2533	# ┳
0xA9B4	0x252B	# ┫
0xA9B5	0x253B	# ┻
0xA9B6	0x254B	# ╋
0xA9B7	0x2520	# ┠
0xA9B8	0x252F	# ┯
0xA9B9	0x2528	# ┨
0xA9BA	0x2537	# ┷
0xA9BB	0x253F	# ┿
0xA9BC	0x251D	# ┝
0xA9BD	0x2530	# ┰
0xA9BE	0x2525	# ┥
0xA9BF	0x2538	# ┸
0xA9C0	0x2542	# ╂
0xA9C1	0x2512	# ┒
0xA9C2	0x2511	# ┑
0xA9C3	0x251A	# ┚
0xA9C4	0x2519	# ┙
0xA9C5	0x2516	# ┖
0xA9C6	0x2515	# ┕
0xA9C7	0x250E	# ┎
0xA9C8	0x250D	# ┍
0xA9C9	0x251E	# ┞
0xA9CA	0x251F	# ┟
0xA9CB	0x2521	# ┡
0xA9CC	0x2522	# ┢
0xA9CD	0x2526	# ┦
0xA9CE	0x2527	# ┧
0xA9CF	0x2529	# ┩
0xA9D0	0x252A	# ┪
0xA9D1	0x252D	# ┭
0xA9D2	0x252E	# ┮
